name,barcode,asset_number,serial_number,checkout_status,DSA_Notes,damage_notes
Zoom Podtrak P4,39007054936018,3,C54110264,Available,,
Zoom Podtrak P4,39007054936034,4,C54109132,Available,,
Insta360 X4 (8K Action Cam),39007054936026,1,IBMEA2502BX674,Available,,
Insta360 X4 (8K Action Cam),39007054936059,2,IBMEA2502B3Y9T,Available,,
360° Auto Face Tracking Mobile Phone Tripod,39007054936075,1,,CHECKED OUT,,
360° Auto Face Tracking Mobile Phone Tripod,39007054936091,2,,CHECKED OUT,,
360° Auto Face Tracking Mobile Phone Tripod,39007054936083,3,,Available,,
360° Auto Face Tracking Mobile Phone Tripod,39007054936067,4,,Available,,
Shure SM58,39007054936117,2,2EC06143197,Available,,"XLR Cable was lost by Wacera Macharia, used in house XLR to keep kit in circulation, new one has been put on purchase list. (S.D.) 2025.10.29"
Shure SM58,39007054936109,3,2EC06129961,Available,,
Portable LED Light Kit (2 Panel),39007054936125,1,,Available,,
Aputure Travel LED Light Kit (4 Panel),39007054936208,1,,CHECKED OUT,,
Boom Pole with Mic Mount,39007054936133,2,10088311,Available,,
Boom Pole with Mic Mount,39007054936216,3,10088311,Available,,
Canon EOS R50-V,39007054936190,1,150202003989,CHECKED OUT,,
Canon EOS R50-V,39007054936182,2,150202003987,CHECKED OUT,,
Canon EOS R50-V,39007054936166,3,150202003990,CHECKED OUT,,
Canon EOS R50-V,39007054936174,4,150202003988,CHECKED OUT,,
Canon EOS R50-V,39007054936158,5,150202003985,CHECKED OUT,,
Canon EOS R50-V,39007054936141,6,150202003986,CHECKED OUT,,
Sigma RF-S 10-18mm F2.8 DC DN,39007054936331,2,58191157,Available,,
Sigma RF-S 10-18mm F2.8 DC DN,39007054936356,1,58268876,Available,,
Sigma RF-S 18-50mm F2.8 DC DN,39007054936349,2,58327372,CHECKED OUT,,
Sigma RF-S 18-50mm F2.8 DC DN,39007054936364,1,58327490,CHECKED OUT,,
MKE 600 Shotgun Microphone,39007054936299,1,265131,Available,,
MKE 600 Shotgun Microphone,39007054936307,2,265131,Available,,
Zoom H6essential,39007054936232,3,D01034069,Available,,
Zoom H6essential,39007054936224,2,D01034070,Available,,
Zoom H4 Essential,39007054936240,1,D05031234,CHECKED OUT,,
Rode VideoMic GO,39007054936372,3,HA0219042,CHECKED OUT,,
Rode VideoMic GO,39007054936315,1,39007054936315,CHECKED OUT,,
